stálo	V;PFV|V.PTCP;PST|NEUT;SG	stál|o
stav	N;ACC;SG	sta|v
viz	V;IMP;PRS;2;SG;IPFV	viz
šukal	V|V.PTCP;MASC;PST;SG	šuka|l
kurví	V;IPFV|IND;PRS;3;PL	kurv|í
soulož	N;ACC;SG;FEM	sou|lož
chtě	V;IPFV|V.CVB;PRS;MASC;SG	cht|ě
slož	V;IMP;PRS;2;SG;PFV	slož
věda	N;NOM;SG;FEM	věd|a
dej	V;PFV|IMP;PRS;2;SG	dej
dav	N;ACC;SG;MASC;INAN	dav
vila	N;NOM;SG;FEM	vil|a
pěna	N;NOM;SG;FEM	pěn|a
dojit	V;PFV|V.PTCP;MASC;PASS;SG	doj|i|t
žito	N;VOC;SG;NEUT	žit|o
žal	N;ACC;SG;MASC;INAN	žal
tvrdě	V;IPFV|V.CVB;PRS;MASC;SG	tvrd|ě
objev	N;ACC;SG;MASC;INAN	ob|jev
trvalo	V;IPFV|V.PTCP;PST|NEUT;SG	trval|o
září	N|GEN;PL;FEM	zář|í
záře	N;VOC;PL;FEM	zář|e
moč	N;ACC;SG;MASC;INAN	moč
jez	N;ACC;SG;MASC;INAN	je|z
žárlil	V;IPFV|V.PTCP;MASC;PST;SG	žárli|l
bit	N;ACC;SG;MASC;INAN	bit
jet	V;V.PTCP;MASC;PASS;SG	je|t
svícen	N;ACC;SG;MASC;INAN	svíc|e|n
pila	N;NOM;SG;FEM	pil|a
pit	V;IPFV|V.PTCP;MASC;PASS;SG	pit
projet	V;V.PTCP;MASC;PASS;SG	pro|je|t
projev	N;ACC;SG	pro|jev
vál	N;ACC;SG;MASC;INAN	vál
tuš	N;ACC;SG;FEM	tuš
zdraví	N;ESS;SG	zdrav|í
zdravě	V;IPFV|V.CVB;PRS;MASC;SG	zdrav|ě
lež	N;ACC;SG;FEM	lež
hledí	N;VOC;PL;NEUT	hled|í
pošle	V;PFV|IND;PRS;3;SG	po|šl|e
zašle	V;PFV|IND;PRS;3;SG	za|šl|e
vyšle	V;PFV|IND;PRS;3;SG	vy|šl|e
brána	N;NOM;SG;FEM	brán|a
brav	N;ACC;SG;MASC;INAN	brav
čistě	V;IPFV|V.CVB;PRS;MASC;SG	čist|ě
mazal	N;NOM;SG	maza|l
kosí	ADJ|NOM;MASC;ANIM;PL	kos|í
kos	N;NOM;SG;FEM	kos
kose	N;VOC;SG;FEM	kos|e
živě	V;IPFV|V.CVB;PRS;MASC;SG	ži|v|ě
bal	N;ACC;SG;MASC;INAN	bal
baleno	V;IPFV|V.PTCP;PASS|NEUT;SG	balen|o
nos	N;ACC;SG;MASC;INAN	nos
brus	N;ACC;SG;MASC;INAN	bru|s
vole	N;VOC;SG	vol|e
děj	N;ACC;SG;MASC;INAN	dě|j
dělo	N;VOC;SG;NEUT	děl|o
sol	N;ACC;SG;NEUT	sol
prodej	N;ACC;SG;MASC;INAN	pro|dej
mela	N;NOM;SG;FEM	mel|a
minula	V;PFV|V.PTCP;PST|FEM;SG	minula
minulo	V;PFV|V.PTCP;PST|NEUT;SG	minul|o
minuta	N;NOM;SG;FEM	minut|a
ztraceno	V;PFV|V.PTCP;PASS|NEUT;SG	z|trac|en|o
suše	V;V.CVB;PRS;MASC;SG;IPFV	suš|e
objet	V;V.PTCP;MASC;PASS;SG	ob|je|t
odjet	V;V.PTCP;MASC;PASS;SG;PFV	od|je|t
kalíš	V;IPFV|IND;PRS;2;SG	kalíš
kal	N;ACC;SG;NEUT	kal
kale	N;SG|VOC;NEUT	kal|e
pálí	V;IPFV|IND;PRS;3;PL	pál|í
pochop	N;ACC;SG	po|cho|p
podloží	N;VOC;PL;NEUT	pod|lož|í
