zufügen	V;NFIN	zu|füg|en
umsehen	V;NFIN	um|seh|en
abzählen	V;NFIN	ab|zähl|en
aufhetzen	V;NFIN	auf|hetz|en
jaulen	V|SBJV;PRS;3;PL	jaul|en
verstärken	V|SBJV;PRS;3;PL	ver|stärk|en
hucken	V|SBJV;PRS;3;PL	huck|en
misten	V|SBJV;PRS;3;PL	mist|en
abstoßen	V;NFIN	ab|stoß|en
abstoßend	V;V.PTCP;PRS	abstoßend
beunruhigen	V|SBJV;PRS;3;PL	be|un|ruh|ig|en
einrosten	V;NFIN	ein|rost|en
nachforschen	V;NFIN	nach|forsch|en
zustopfen	V;NFIN	zu|stopf|en
herrschen	V|SBJV;PRS;3;PL	herrsch|en
herrschend	V|V.PTCP;PRS	herrschend
abschweifen	V;NFIN	ab|schweif|en
verzahnen	V|SBJV;PRS;3;PL	ver|zahn|en
bescheinigen	V|SBJV;PRS;3;PL	be|schein|ig|en
nachzählen	V;NFIN	nach|zähl|en
gelingen	V|SBJV;PRS;3;PL	geling|en
salzen	V|SBJV;PRS;3;PL	salz|en
ruinieren	V|SBJV;PRS;3;PL	ruin|ier|en
erkunden	V|SBJV;PRS;3;PL	er|kund|en
vernehmen	V|SBJV;PRS;3;PL	ver|nehm|en
forschen	ADJ|ACC;SG;MASC	forsch|en
anschuldigen	V;NFIN	an|schuld|ig|en
mieten	V|SBJV;PRS;3;PL	miet|en
anfangen	V;NFIN	an|fang|en
sticheln	V;NFIN	stich|el|n
beseitigen	V|SBJV;PRS;3;PL	be|seit|ig|en
plündern	V;NFIN	plünder|n
umgeben	V|SBJV;PRS;3;PL	um|geb|en
versorgen	V|SBJV;PRS;3;PL	ver|sorg|en
formatieren	V|SBJV;PRS;3;PL	form|at|ier|en
pusten	V|SBJV;PRS;3;PL	pust|en
platzen	V|SBJV;PRS;3;PL	platz|en
abgehen	V;NFIN	ab|geh|en
lächeln	V;NFIN	läch|el|n
weiterverbreiten	V;NFIN	weit|er|ver|breit|en
beanstanden	V|SBJV;PRS;3;PL	be|an|stand|en
austreiben	V;NFIN	aus|treib|en
aufsteigen	V;NFIN	auf|steig|en
ausbooten	V;NFIN	aus|boot|en
vermarkten	V|SBJV;PRS;3;PL	ver|markt|en
rappeln	V;NFIN	rappel|n
ansetzen	V;NFIN	an|setz|en
karikieren	V|SBJV;PRS;3;PL	karik|ier|en
zerstäuben	V|SBJV;PRS;3;PL	zer|stäub|en
zerkratzen	V|SBJV;PRS;3;PL	zer|kratz|en
schneiden	V|SBJV;PRS;3;PL	schneid|en
auswandern	V;NFIN	aus|wander|n
ermangeln	V;NFIN	er|mangel|n
erwägen	V|SBJV;PRS;3;PL	er|wäg|en
balsamieren	V|SBJV;PRS;3;PL	balsam|ier|en
hinwerfen	V;NFIN	hin|werf|en
untersinken	V;NFIN	unter|sink|en
kosen	V|SBJV;PRS;3;PL	kos|en
kosten	V|SBJV;PRS;3;PL	kost|en
glotzen	V|SBJV;PRS;3;PL	glotz|en
stören	V|SBJV;PRS;3;PL	stör|en
eskortieren	V|SBJV;PRS;3;PL	eskort|ier|en
blecken	V|SBJV;PRS;3;PL	bleck|en
henken	V|SBJV;PRS;3;PL	henk|en
entkorken	V|SBJV;PRS;3;PL	ent|kork|en
absaufen	V;NFIN	ab|sauf|en
deuten	V|SBJV;PRS;3;PL	deut|en
absenden	V;NFIN	ab|send|en
hinstellen	V;NFIN	hin|stell|en
lassen	V|SBJV;PRS;3;PL	lass|en
lass	V;IMP;2;SG	lass
müssen	V|SBJV;PRS;3;PL	müss|en
ausreizen	V;NFIN	aus|reiz|en
prüfen	V|SBJV;PRS;3;PL	prüf|en
verstellen	V|SBJV;PRS;3;PL	ver|stell|en
anfertigen	V;NFIN	an|fertig|en
ertönen	V|SBJV;PRS;3;PL	er|tön|en
angeln	V;NFIN	angel|n
einbetten	V;NFIN	ein|bett|en
investieren	V|SBJV;PRS;3;PL	invest|ier|en
sichergehen	V;NFIN	sicher|geh|en
erkennen	V|SBJV;PRS;3;PL	er|kenn|en
aufwerfen	V;NFIN	auf|werf|en
beidrehen	V;NFIN	bei|dreh|en
steinigen	ADJ|ACC;SG;MASC	stein|ig|en
steinig	V;IMP;2;SG	stein|ig
schwatzen	V|SBJV;PRS;3;PL	schwatz|en
verbeugen	V|SBJV;PRS;3;PL	ver|beug|en
schlürfen	V|SBJV;PRS;3;PL	schlürf|en
umlernen	V;NFIN	um|lern|en
erstürmen	V|SBJV;PRS;3;PL	er|stürm|en
abschreiben	V;NFIN	ab|schreib|en
abscheren	V;NFIN	ab|scher|en
rudern	V;NFIN	ruder|n
denken	V|SBJV;PRS;3;PL	denk|en
vertreiben	V|SBJV;PRS;3;PL	ver|treib|en
kuscheln	V;NFIN	kusch|el|n
räsonieren	V|SBJV;PRS;3;PL	räson|ier|en
aufbrechen	V;NFIN	auf|brech|en
beteiligen	V|SBJV;PRS;3;PL	be|teil|ig|en
losziehen	V;NFIN	los|zieh|en
leiden	ADJ|ACC;SG;MASC	leid|en
leidend	V|V.PTCP;PRS	leidend
verschanzen	V|SBJV;PRS;3;PL	ver|schanz|en
baden	V|SBJV;PRS;3;PL	bad|en
abbiegen	V;NFIN	ab|bieg|en
scheren	V|SBJV;PRS;3;PL	scher|en
geschert	V;V.PTCP;PST	geschert
tönen	V|SBJV;PRS;3;PL	tön|en
vorziehen	V;NFIN	vor|zieh|en
biegen	V|SBJV;PRS;3;PL	bieg|en
platschen	V|SBJV;PRS;3;PL	platsch|en
dahinsiechen	V;NFIN	da|hin|siech|en
totschießen	V;NFIN	tot|schieß|en
betrügen	V|SBJV;PRS;3;PL	be|trüg|en
schachern	V;NFIN	schacher|n
durchgreifen	V;NFIN	durch|greif|en
bequatschen	V|SBJV;PRS;3;PL	be|quatsch|en
zurückschrecken	V;NFIN	zurück|schreck|en
vergönnen	V|SBJV;PRS;3;PL	ver|gönn|en
losgehen	V;NFIN	los|geh|en
kraulen	V|SBJV;PRS;3;PL	kraul|en
betäuben	V|SBJV;PRS;3;PL	be|täub|en
verfremden	V|SBJV;PRS;3;PL	ver|fremd|en
verwesen	V|SBJV;PRS;3;PL	verwes|en
stäuben	V|SBJV;PRS;3;PL	stäub|en
zecken	V|SBJV;PRS;3;PL	zeck|en
sieben	V|SBJV;PRS;3;PL	sieb|en
siebte	V|SBJV;PST;3;SG	sieb|t|e
voraussetzen	V;NFIN	vor|aus|setz|en
schlussfolgern	V;NFIN	schluss|folg|er|n
schiffen	V|SBJV;PRS;3;PL	schiff|en
vermissen	V|SBJV;PRS;3;PL	ver|miss|en
einquartieren	V;NFIN	ein|quartier|en
landen	V|SBJV;PRS;3;PL	land|en
abtransportieren	V;NFIN	ab|transport|ier|en
klonen	V|SBJV;PRS;3;PL	klon|en
ausrufen	V;NFIN	aus|ruf|en
verlangsamen	V|SBJV;PRS;3;PL	ver|lang|sam|en
verführen	V|SBJV;PRS;3;PL	ver|führ|en
ausfragen	V;NFIN	aus|frag|en
beibringen	V;NFIN	bei|bring|en
benebeln	V;NFIN	be|nebel|n
benebelt	V|IMP;2;PL	benebelt
verpönen	V|SBJV;PRS;3;PL	verpön|en
verpönt	V|IMP;2;PL	verpönt
überschatten	V|SBJV;PRS;3;PL	über|schatt|en
wetteifern	V;NFIN	wett|eifer|n
draufgehen	V;NFIN	d|r|auf|geh|en
vermengen	V|SBJV;PRS;3;PL	ver|meng|en
entsetzen	V|SBJV;PRS;3;PL	ent|setz|en
entsetzt	V|IMP;2;PL	entsetzt
klarkommen	V;NFIN	klar|komm|en
abkapseln	V;NFIN	ab|kapsel|n
horchen	V|SBJV;PRS;3;PL	horch|en
würfeln	V;NFIN	würf|el|n
gewürfelt	V;V.PTCP;PST	gewürfelt
klopfen	V|SBJV;PRS;3;PL	klopf|en
ausreifen	V;NFIN	aus|reif|en
rasten	V|SBJV;PST;3;PL	rast|en
erweitern	V;NFIN	er|weit|er|n
aluminieren	V|SBJV;PRS;3;PL	alumin|ier|en
anheben	V;NFIN	an|heb|en
faulenzen	V|SBJV;PRS;3;PL	faul|enz|en
verwehen	V|SBJV;PRS;3;PL	ver|weh|en
quengeln	V;NFIN	quengel|n
ausarbeiten	V;NFIN	aus|arbeit|en
rasen	V|SBJV;PRS;3;PL	ras|en
herunterlassen	V;NFIN	her|unter|lass|en
erfrieren	V|SBJV;PRS;3;PL	er|frier|en
stinken	V|SBJV;PRS;3;PL	stink|en
stink	V;IMP;2;SG	stink
feilschen	V|SBJV;PRS;3;PL	feilsch|en
überleben	V|SBJV;PRS;3;PL	über|leb|en
vorhalten	V;NFIN	vor|halt|en
gutschreiben	V;NFIN	gut|schreib|en
verdecken	V|SBJV;PRS;3;PL	ver|deck|en
verbrennen	V|SBJV;PRS;3;PL	ver|brenn|en
flimmern	V;NFIN	flimmer|n
ausschmücken	V;NFIN	aus|schmück|en
entnehmen	V|SBJV;PRS;3;PL	ent|nehm|en
roboten	V|SBJV;PRS;3;PL	robot|en
wichsen	V|SBJV;PRS;3;PL	wichs|en
betrinken	V|SBJV;PRS;3;PL	be|trink|en
verzaubern	V;NFIN	ver|zauber|n
schieben	V|SBJV;PRS;3;PL	schieb|en
installieren	V|SBJV;PRS;3;PL	install|ier|en
entzücken	V|SBJV;PRS;3;PL	ent|zück|en
entzückend	V|V.PTCP;PRS	entzückend
verschränken	V|SBJV;PRS;3;PL	ver|schränk|en
befingern	V;NFIN	be|finger|n
erarbeiten	V|SBJV;PRS;3;PL	er|arbeit|en
erwidern	V;NFIN	er|wider|n
ergrimmen	V|SBJV;PRS;3;PL	er|grimm|en
beleuchten	V|SBJV;PRS;3;PL	be|leucht|en
substantivieren	V|SBJV;PRS;3;PL	substant|iv|ier|en
zapfen	V|SBJV;PRS;3;PL	zapf|en
erinnern	V;NFIN	erinner|n
vögeln	V;NFIN	vögel|n
krähen	V|SBJV;PRS;3;PL	kräh|en
zusammenkehren	V;NFIN	zusammen|kehr|en
weisen	ADJ|ACC;SG;MASC	weis|en
weise	ADJ;ACC;PL	weise
einmahnen	V;NFIN	ein|mahn|en
bemerken	V|SBJV;PRS;3;PL	be|merk|en
aushelfen	V;NFIN	aus|helf|en
verordnen	V|SBJV;PRS;3;PL	ver|ordn|en
vergnügen	V|SBJV;PRS;3;PL	ver|gnüg|en
vergnügt	V|IMP;2;PL	vergnügt
erlassen	V|SBJV;PRS;3;PL	er|lass|en
replizieren	V|SBJV;PRS;3;PL	repliz|ier|en
weichen	ADJ|ACC;SG;MASC	weich|en
weich	V;IMP;2;SG	weich
aussehen	V;NFIN	aus|seh|en
mitbringen	V;NFIN	mit|bring|en
wüten	V|SBJV;PRS;3;PL	wüt|en
verletzen	V|SBJV;PRS;3;PL	verletz|en
verletzt	V|IMP;2;PL	verletzt
egalisieren	V|SBJV;PRS;3;PL	egal|isier|en
kokettieren	V|SBJV;PRS;3;PL	kokett|ier|en
durchhalten	V;NFIN	durch|halt|en
blitzen	V|SBJV;PRS;3;PL	blitz|en
ventilieren	V|SBJV;PRS;3;PL	ventil|ier|en
kneifen	V|SBJV;PRS;3;PL	kneif|en
horten	V|SBJV;PRS;3;PL	hort|en
unterbinden	V|SBJV;PRS;3;PL	unter|bind|en
versickern	V;NFIN	ver|sicker|n
verreisen	V|SBJV;PRS;3;PL	ver|reis|en
anhauchen	V;NFIN	an|hauch|en
filtern	V;NFIN	filter|n
haken	V|SBJV;PRS;3;PL	hak|en
beziffern	V;NFIN	be|ziffer|n
offenlegen	V;NFIN	offen|leg|en
schmirgeln	V;NFIN	schmirgel|n
verborgen	V|SBJV;PRS;3;PL	ver|borg|en
zoomen	V|SBJV;PRS;3;PL	zoom|en
veröden	V|SBJV;PRS;3;PL	ver|öd|en
tatschen	V|SBJV;PRS;3;PL	tatsch|en
runterfallen	V;NFIN	runter|fall|en
überteuern	V;NFIN	über|teuer|n
befürchten	V|SBJV;PRS;3;PL	be|fürcht|en
sollen	V|SBJV;PRS;3;PL	soll|en
romantisieren	V|SBJV;PRS;3;PL	romant|isier|en
sozialisieren	V|SBJV;PRS;3;PL	sozi|al|isier|en
mopsen	V|SBJV;PRS;3;PL	mops|en
aufreiben	V;NFIN	auf|reib|en
aufreibend	V;V.PTCP;PRS	aufreibend
vorknöpfen	V;NFIN	vor|knöpf|en
sacken	V|SBJV;PRS;3;PL	sack|en
entziffern	V;NFIN	ent|ziffer|n
auslauten	V;NFIN	aus|laut|en
ausbrechen	V;NFIN	aus|brech|en
nahen	ADJ|ACC;SG;MASC	nah|en
nahe	ADJ|ACC;PL	nahe
nah	V;IMP;2;SG	nah
zutrauen	V;NFIN	zu|trau|en
schweißen	V|SBJV;PRS;3;PL	schweiß|en
schönfärben	V;NFIN	schön|färb|en
genesen	V|SBJV;PRS;3;PL	genes|en
niederfallen	V;NFIN	nieder|fall|en
anbetreffen	V;NFIN	an|be|treff|en
knebeln	V;NFIN	knebel|n
schaudern	V;NFIN	schauder|n
verneigen	V|SBJV;PRS;3;PL	ver|neig|en
nachempfinden	V;NFIN	nach|empfind|en
brodeln	V;NFIN	brodel|n
assimilieren	V|SBJV;PRS;3;PL	assimil|ier|en
erhellen	V|SBJV;PRS;3;PL	er|hell|en
lichten	ADJ|ACC;SG;MASC	licht|en
ermatten	V|SBJV;PRS;3;PL	er|matt|en
anmelden	V;NFIN	an|meld|en
beschädigen	V|SBJV;PRS;3;PL	be|schäd|ig|en
verschlemmen	V|SBJV;PRS;3;PL	ver|schlemm|en
hochheben	V;NFIN	hoch|heb|en
fertigbringen	V;NFIN	fertig|bring|en
abklappern	V;NFIN	ab|klapp|er|n
jäten	V|SBJV;PRS;3;PL	jät|en
anzeigen	V;NFIN	an|zeig|en
verzagen	V|SBJV;PRS;3;PL	ver|zag|en
errichten	V|SBJV;PRS;3;PL	er|richt|en
pulsieren	V|SBJV;PRS;3;PL	puls|ier|en
wimmeln	V;NFIN	wimmel|n
pilgern	V;NFIN	pilger|n
einsehen	V;NFIN	ein|seh|en
einkochen	V;NFIN	ein|koch|en
radebrechend	V|V.PTCP;PRS	rad|e|brechend
umstoßen	V;NFIN	um|stoß|en
beschwatzen	V|SBJV;PRS;3;PL	be|schwatz|en
hereinfallen	V;NFIN	her|ein|fall|en
brausen	V|SBJV;PRS;3;PL	braus|en
erkundigen	V|SBJV;PRS;3;PL	er|kund|ig|en
riffeln	V;NFIN	riffel|n
loten	V|SBJV;PRS;3;PL	lot|en
belagern	V;NFIN	be|lager|n
ausweiten	V;NFIN	aus|weit|en
beschweren	V|SBJV;PRS;3;PL	be|schwer|en
beben	V|SBJV;PRS;3;PL	beb|en
perfektionieren	V|SBJV;PRS;3;PL	perfekt|ion|ier|en
explizieren	V|SBJV;PRS;3;PL	expliz|ier|en
signalisieren	V|SBJV;PRS;3;PL	signal|isier|en
verbannen	V|SBJV;PRS;3;PL	ver|bann|en
zertrampeln	V;NFIN	zer|tramp|el|n
entblößen	V|SBJV;PRS;3;PL	ent|blöß|en
durchblicken	V;NFIN	durch|blick|en
eingestehen	V;NFIN	ein|gesteh|en
eggen	V|SBJV;PRS;3;PL	egg|en
prickeln	V;NFIN	prick|el|n
einnehmen	V;NFIN	ein|nehm|en
läuten	V|SBJV;PRS;3;PL	läut|en
absprechen	V;NFIN	ab|sprech|en
verlegen	V|SBJV;PRS;3;PL	ver|leg|en
schwelen	V|SBJV;PRS;3;PL	schwel|en
abblitzen	V;NFIN	ab|blitz|en
deckeln	V;NFIN	deck|el|n
verkünden	V|SBJV;PRS;3;PL	ver|künd|en
aufregen	V;NFIN	auf|reg|en
aufregend	V;V.PTCP;PRS	aufregend
diagnostizieren	V|SBJV;PRS;3;PL	diagnostizier|en
umverteilen	V;NFIN	um|ver|teil|en
beifügen	V;NFIN	bei|füg|en
anstecken	V;NFIN	an|steck|en
ansteckend	V;V.PTCP;PRS	ansteckend
patrouillieren	V|SBJV;PRS;3;PL	patrouill|ier|en
einlesen	V;NFIN	ein|les|en
verheimlichen	V|SBJV;PRS;3;PL	ver|heim|lich|en
bewundern	V;NFIN	be|wunder|n
greifen	V|SBJV;PRS;3;PL	greif|en
stiften	V|SBJV;PRS;3;PL	stift|en
stempeln	V;NFIN	stempel|n
aufzeichnen	V;NFIN	auf|zeichn|en
ausräuchern	V;NFIN	aus|räuch|er|n
eingießen	V;NFIN	ein|gieß|en
löffeln	V;NFIN	löffel|n
aussondern	V;NFIN	aus|sonder|n
