eats	N|PL	eat|s
stonewalling	N;SG	stonewalling
countable	ADJ	count|able
leads	V|PRS;3;SG	leads
leading	ADJ	leading
leaded	ADJ	lead|ed
mountaineering	N;SG	mountaineering
lodging	N;SG	lodging
waterlogged	ADJ	water|logged
contrived	ADJ	contrived
boned	ADJ	boned
cunning	N;SG	cunning
serving	N;SG	serving
rifles	V|PRS;3;SG	rifles
rifling	N;SG	rifling
underclothes	V|PRS;3;SG	under|clothes
underclothing	N;SG	under|clothing
unsaid	ADJ	un|said
gathering	ADJ	gathering
amazing	ADJ	amazing
flowering	ADJ	flowering
flowered	ADJ	flower|ed
inquiring	ADJ	inquiring
anguished	ADJ	anguish|ed
placed	V|V.PTCP;PST	placed
undercut	ADJ	under|cut
tubing	N;SG	tubing
confusing	ADJ	confusing
confused	ADJ	confused
peddling	ADJ	peddling
stranded	V|V.PTCP;PST	stranded
charades	N;SG	charades
sissified	ADJ	siss|i|fi|ed
quoits	N;SG	quoits
hoarding	N;SG	hoarding
accusing	ADJ	accusing
accused	N;SG	accused
inwrought	ADJ	in|wrought
parking	N;SG	parking
repeating	N;SG	repeating
repeated	ADJ	repeated
befitting	ADJ	befitting
humpbacked	ADJ	hump|back|ed
outgoing	ADJ	out|going
asking	N;SG	asking
wetting	ADJ	wetting
wet	ADJ	wet
following	ADJ	following
shorts	V|PRS;3;SG	short|s
unbecoming	ADJ	un|becoming
trammels	V|PRS;3;SG	trammel|s
braces	V|PRS;3;SG	brace|s
bracing	N;SG	bracing
creepers	N|PL	creepers
undomesticated	ADJ	un|domesticated
boiling	N;SG	boiling
donkey	N;SG	donkey
expenses	V|PRS;3;SG	expenses
related	ADJ	related
preoccupied	ADJ	preoccupied
dispatches	V|PRS;3;SG	dispatches
disapproving	V|V.PTCP;PRS	disapproving
basics	N|PL	bas|ic|s
borrowing	N;SG	borrowing
rising	ADJ	rising
rose	ADJ	rose
marking	N;SG	marking
marked	ADJ	marked
crowning	ADJ	crowning
pushing	ADJ	pushing
pushed	V|V.PTCP;PST	pushed
swinging	N;SG	swinging
twilit	ADJ	twilit
unprovoked	ADJ	un|provoked
bearded	ADJ	beard|ed
unwritten	ADJ	un|written
woollens	N|PL	wooll|en|s
winding	N;SG	winding
felicitations	N|PL	felicitat|ion|s
outset	V;NFIN;IMP+SBJV	out|se|t
dappled	ADJ	dappled
sans	ADJ	sans
bounds	N|PL	bounds
shaving	N;SG	shaving
