grdan	ADJ;INDF;MASC;NOM;SG	grd|an
gubitak	N;ACC;SG	gubit|ak
guzica	N;NOM;SG	guz|ica
hladan	ADJ;INDF;MASC;NOM;SG	hlad|an
hladnoća	N;NOM;SG	hladn|oća
hlepčić	N;ACC;SG	hlep|čić
homoseksualnost	N;ACC;SG	homoseksualn|ost
hotelski	ADJ;MASC;VOC;SG	hotel|ski
hroničar	N;NOM;SG	hroni|čar
huliganski	ADJ;MASC;VOC;SG	huligan|ski
huliganstvo	N;ACC;SG	huligan|stvo
igračica	N;NOM;SG	igrač|ica
imenik	N;ACC;SG	ime|nik
imenjak	N;NOM;SG	ime|njak
instrumental	N;ACC;SG	instrument|al
ispiti	N;VOC;PL	i|s|piti
izdati	V.PTCP;PASS;PST;PL;MASC	i|z|dati
izgovor	N;ACC;SG	i|z|govor
izlet	N;ACC;SG	i|z|let
izmaknuti	V.PTCP;PASS;PST;PL;MASC	i|z|maknuti
iznenadan	ADJ;INDF;MASC;ACC;SG;INAN	i|z|nenadan
izrasti	V;IMP;2;SG	i|z|rasti
izravan	ADJ;INDF;MASC;NOM;SG	i|z|ravan
izračunati	V.PTCP;PASS;PST;PL;MASC	i|z|računati
izvesti	V;PRS;3;SG	i|z|vesti
izvrstan	ADJ;INDF;MASC;ACC;SG;INAN	i|z|vrstan
jamstvo	N;ACC;SG	jam|stvo
jedinica	N;NOM;SG	jedin|ica
jednodušan	ADJ;INDF;MASC;ACC;SG;INAN	jedn|o|dušan
jednoimen	ADJ;INDF;MASC;ACC;SG;INAN	jedn|o|imen
jednoženstvo	N;ACC;SG	jedn|o|ženstvo
jeftinoća	N;NOM;SG	jeftin|oća
jemstvo	N;ACC;SG	jem|stvo
jesenski	ADJ;MASC;VOC;SG	jesen|ski
jetrica	N;NOM;SG	jetr|ica
jezgrica	N;NOM;SG	jezgr|ica
južina	N;NOM;SG	juž|ina
kadilo	V.PTCP;PASS;PST;SG;NEUT	kadi|lo
kadionica	N;NOM;SG	kadio|nica
kamen	N;ACC;SG	kam|en
karanfilić	N;ACC;SG	karanfil|ić
katranski	ADJ;MASC;VOC;SG	katran|ski
kemijski	ADJ;MASC;VOC;SG	kemij|ski
kilogram	N;ACC;SG	kil|o|gram
kišan	ADJ;INDF;MASC;NOM;SG	kiš|an
kišnica	N;NOM;SG	kiš|nica
klavirist	N;NOM;SG	klavir|ist
klaviristica	N;NOM;SG	klavirist|ica
klaviristkinja	N;NOM;SG	klavirist|kinja
klipnjača	N;NOM;SG	klip|njača
klobučar	N;NOM;SG	klobuč|ar
knjižara	N;NOM;SG	knjižar|a
knjižničar	N;NOM;SG	knjižnič|ar
knjižničarstvo	N;ACC;SG	knjižničar|stvo
komadić	N;ACC;SG	komad|ić
konobarica	N;NOM;SG	konobar|ica
konopac	N;ACC;SG	konop|ac
kovačica	N;NOM;SG	kovač|ica
kovinotokar	N;NOM;SG	kovin|o|tokar
kozarstvo	N;ACC;SG	kozar|stvo
košarka	N;NOM;SG	košar|ka
kožar	N;NOM;SG	kož|ar
kožica	N;NOM;SG	kož|ica
krajnik	N;ACC;SG	kraj|nik
kraljevstvo	N;ACC;SG	kraljev|stvo
kratkodnevica	N;NOM;SG	kratk|o|dnevica
kratkometni	ADJ;MASC;VOC;SG	kratk|o|metni
kratkometražni	ADJ;MASC;VOC;SG	kratk|o|metražni
kratkonog	ADJ;INDF;MASC;ACC;SG;INAN	kratk|o|nog
kratkovalni	ADJ;MASC;VOC;SG	kratk|o|valni
kratkovid	ADJ;INDF;MASC;ACC;SG;INAN	kratk|o|vid
kriptotehnofobija	N;NOM;SG	kript|o|tehnofobija
krivica	N;NOM;SG	kriv|ica
krkanluk	N;ACC;SG	krkan|luk
