աբասանոց	ADJ;NOM(SG)	աբասանոց
աբասանոցի	ADJ;DAT(SG)	աբասանոց|ի
աբասանոցից	ADJ;ABL(SG)	աբասանոց|ից
աբասանոցներ	ADJ;NOM(PL)	աբասանոց|ներ
աբբայական	ADJ;NOM(SG)	աբբայական
աբեղայական	ADJ;NOM(SG)	աբեղայական
աբխազական	ADJ;NOM(SG)	աբխազական
աբխազականը	ADJ;NOM(SG;DEF)	աբխազական|ը
աբխազականի	ADJ;DAT(SG)	աբխազական|ի
աբխազականից	ADJ;ABL(SG)	աբխազական|ից
աբխազերեն	ADJ;NOM(SG)	աբխազերեն
աբխազերենը	ADJ;NOM(SG;DEF)	աբխազերեն|ը
աբխազերենի	ADJ;DAT(SG)	աբխազերեն|ի
աբխազերենին	ADJ;DAT(SG;DEF)	աբխազերեն|ի|ն
աբխազերենով	ADJ;INS(SG)	աբխազերեն|ով
աբոնեմենտ	N;NOM(SG)	աբոնեմենտ
աբոնեմենտը	N;NOM(SG;DEF)	աբոնեմենտ|ը
աբոնեմենտի	N;DAT(SG)	աբոնեմենտ|ի
աբոնեմենտիս	N;DAT(SG;PSS(1,SG))	աբոնեմենտ|ի|ս
աբոնեմենտներ	N;NOM(PL)	աբոնեմենտ|ներ
աբոնեմենտները	N;NOM(PL;DEF)	աբոնեմենտ|ներ|ը
աբոնեմենտների	N;DAT(PL)	աբոնեմենտ|ներ|ի
աբոնեմենտներով	N;INS(PL)	աբոնեմենտ|ներ|ով
աբոնեմենտով	N;INS(SG)	աբոնեմենտ|ով
աբոնեմենտային	ADJ;NOM(SG)	աբոնեմենտային
աբոնենտ	N;NOM(SG)	աբոնենտ
աբոնենտը	N;NOM(SG;DEF)	աբոնենտ|ը
աբոնենտի	N;DAT(SG)	աբոնենտ|ի
աբոնենտին	N;DAT(SG;DEF)	աբոնենտ|ի|ն
աբոնենտների	N;DAT(PL)	աբոնենտ|ներ|ի
աբոնենտներին	N;DAT(PL;DEF)	աբոնենտ|ներ|ի|ն
աբոնենտներից	N;ABL(PL)	աբոնենտ|ներ|ից
աբոնենտով	N;INS(SG)	աբոնենտ|ով
աբուռ	N;NOM(SG)	աբուռ
աբուռդ	N;NOM(SG;PSS(2,SG))	աբուռ|դ
աբուռը	N;NOM(SG;DEF)	աբուռ|ը
աբուռի	N;DAT(SG)	աբուռ|ի
աբուռներս	N;NOM(PL;PSS(1,SG))	աբուռ|ներ|ս
աբուռով	N;INS(SG)	աբուռ|ով
աբուռս	N;NOM(SG;PSS(1,SG))	աբուռ|ս
աբսոլյուտ	ADJ;NOM(SG)	աբսոլյուտ
աբսոլյուտը	ADJ;NOM(SG;DEF)	աբսոլյուտ|ը
աբսոլյուտի	ADJ;DAT(SG)	աբսոլյուտ|ի
աբսորբեր	V;FUT;PRF;SBJV;NOM(3,SG)	աբսորբ|եր
աբսորբում	V;V.CONV;IPFV	աբսորբ|ում
աբսուրդ	N;NOM(SG)	աբսուրդ
աբսուրդը	N;NOM(SG;DEF)	աբսուրդ|ը
աբսուրդի	N;DAT(SG)	աբսուրդ|ի
աբսուրդին	N;DAT(SG;DEF)	աբսուրդ|ի|ն
աբսուրդից	N;ABL(SG)	աբսուրդ|ից
աբսուրդներ	N;NOM(PL)	աբսուրդ|ներ
աբսուրդները	N;NOM(PL;DEF)	աբսուրդ|ներ|ը
աբսուրդների	N;DAT(PL)	աբսուրդ|ներ|ի
աբսուրդներից	N;ABL(PL)	աբսուրդ|ներ|ից
