aalglad	ADJ;INDF;NEUT;SG	aal|glad
aalvormig	ADJ;INDF;NEUT;SG	aal|vorm|ig
aamborstig	ADJ;INDF;NEUT;SG	aam|borst|ig
aanbiddelijk	ADJ;INDF;NEUT;SG	aan|bidd|elijk
aanbidden	V;SBJV;PRS;PL	aan|bidd|en
aangeboren	ADJ;INDF;PL	aan|geboren
aanmerkelijk	ADJ;INDF;NEUT;SG	aan|merk|elijk
aanneembaar	ADJ;INDF;NEUT;SG	aan|neem|baar
aannemelijk	ADJ;INDF;NEUT;SG	aan|nem|elijk
aanschouwelijk	ADJ;INDF;NEUT;SG	aan|schouw|elijk
aanschouwen	V;SBJV;PRS;PL	aan|schouw|en
aansprakelijk	ADJ;INDF;NEUT;SG	aan|sprak|elijk
aantrekkelijk	ADJ;INDF;NEUT;SG	aan|trekk|elijk
aanvaardbaar	ADJ;INDF;NEUT;SG	aanvaard|baar
aanvankelijk	ADJ;INDF;NEUT;SG	aan|vank|elijk
aanverwant	ADJ;INDF;NEUT;SG	aan|verwant
aanverwante	ADJ;INDF;PL	aan|verwant|e
aanzienlijk	ADJ;INDF;NEUT;SG	aanzien|lijk
aardewerk	ADJ;INDF;PL	aarde|werk
aardewerken	ADJ;INDF;PL	aarde|werk|en
aards	ADJ;INDF;NEUT;SG	aard|s
aartsvaderlijk	ADJ;INDF;NEUT;SG	aarts|vader|lijk
aarzelen	V;SBJV;PRS;PL	aarzel|en
aborteren	V;SBJV;PRS;PL	abort|er|en
absoluut	ADJ;INDF;NEUT;SG	absoluut
abstraheren	V;SBJV;PRS;PL	abstrah|er|en
accentueren	V;SBJV;PRS;PL	accent|uer|en
accepteren	V;SBJV;PRS;PL	accept|er|en
accuraat	ADJ;INDF;NEUT;SG	accuraat
achteloos	ADJ;INDF;NEUT;SG	acht|eloos
achten	V;SBJV;PRS;PL	acht|en
acht	V;IND;PRS;3;SG	acht
achterdochtig	ADJ;INDF;NEUT;SG	achterdocht|ig
achterhalen	V;SBJV;PRS;PL	achter|hal|en
achterlijk	ADJ;INDF;NEUT;SG	achter|lijk
achtervolgen	V;SBJV;PRS;PL	achter|volg|en
achterwaarts	ADJ;INDF;NEUT;SG	achter|waarts
achthoekig	ADJ;INDF;NEUT;SG	acht|hoek|ig
achttienjarig	ADJ;INDF;NEUT;SG	acht|tien|jar|ig
achturig	ADJ;INDF;NEUT;SG	acht|ur|ig
achtvoudig	ADJ;INDF;NEUT;SG	achtvoud|ig
actief	ADJ;INDF;NEUT;SG	act|ief
activeren	V;SBJV;PRS;PL	activ|er|en
adelen	V;SBJV;PRS;PL	adel|en
adel	V;IND;PRS;1;SG	adel
adellijk	ADJ;INDF;NEUT;SG	adel|lijk
adembenemend	ADJ;INDF;NEUT;SG	adem|be|nem|end
ademen	V;SBJV;PRS;PL	adem|en
adem	V;IND;PRS;1;SG	adem
administratief	ADJ;INDF;NEUT;SG	administr|at|ief
adoptief	ADJ;INDF;NEUT;SG	adopt|ief
adviseren	V;SBJV;PRS;PL	advis|er|en
aerodynamisch	ADJ;INDF;NEUT;SG	aero|dynamisch
afgrijselijk	ADJ;INDF;NEUT;SG	afgrijs|elijk
afhankelijk	ADJ;INDF;NEUT;SG	af|hank|elijk
afkeurenswaardig	ADJ;INDF;NEUT;SG	af|keur|ens|waard|ig
afkomstig	ADJ;INDF;NEUT;SG	af|kom|st|ig
afschrikwekkend	ADJ;INDF;NEUT;SG	af|schrik|wekk|end
afschuwelijk	ADJ;INDF;NEUT;SG	afschuw|elijk
afstandelijk	ADJ;INDF;NEUT;SG	afstand|elijk
aftelbaar	ADJ;INDF;NEUT;SG	af|tel|baar
afvallig	ADJ;INDF;NEUT;SG	af|vall|ig
afzonderlijk	ADJ;INDF;NEUT;SG	af|zonder|lijk
agogiek	ADJ;INDF;NEUT;SG	agog|iek
agressief	ADJ;INDF;NEUT;SG	agress|ief
