Achilles	N;VOC;SG|MASC;ANIM	Achill|es
Afganec	N;VOC;SG|MASC;ANIM	Afgan|ec
Afganka	N;VOC;SG|FEM	Afgan|ka
Afričan	N;VOC;SG|MASC;ANIM	Afrič|an
Afričanka	N;VOC;SG|FEM	Afrič|anka
Albánec	N;VOC;SG|MASC;ANIM	Albán|ec
Albánka	N;VOC;SG|FEM	Albán|ka
Alsasan	N;VOC;SG|MASC;ANIM	Alsas|an
Alsasanka	N;VOC;SG|FEM	Alsas|anka
Alsašťan	N;VOC;SG|MASC;ANIM	Alsaš|ťan
Alsašťanka	N;VOC;SG|FEM	Alsaš|ťanka
Alžírec	N;VOC;SG|MASC;ANIM	Alžír|ec
Alžírka	N;VOC;SG|FEM	Alžír|ka
Alžírčan	N;VOC;SG|MASC;ANIM	Alžír|čan
Alžírčanka	N;VOC;SG|FEM	Alžír|čanka
Amerikán	N;VOC;SG|MASC;ANIM	Amerik|án
Amerikánka	N;VOC;SG|FEM	Amerik|ánka
Američan	N;VOC;SG|MASC;ANIM	Američ|an
Američanka	N;VOC;SG|FEM	Američ|anka
Andromeda	N;NOM;SG|FEM	Andromed|a
Angličan	N;VOC;SG|MASC;ANIM	Angl|ičan
Angličanka	N;VOC;SG|FEM	Angl|ičanka
Antily	N;VOC;PL|FEM	Antil|y
Archimedes	N;VOC;SG|MASC;ANIM	Archimed|es
Argentínec	N;VOC;SG|MASC;ANIM	Argentín|ec
Argentínka	N;VOC;SG|FEM	Argentín|ka
Argentínčan	N;VOC;SG|MASC;ANIM	Argentín|čan
Argentínčanka	N;VOC;SG|FEM	Argentín|čanka
Aristoteles	N;VOC;SG|MASC;ANIM	Aristotel|es
Armén	N;VOC;SG|MASC;ANIM	Armén
Arménka	N;VOC;SG|FEM	Armén|ka
Asýrčan	N;VOC;SG|MASC;ANIM	Asýr|čan
Asýrčanka	N;VOC;SG|FEM	Asýr|čanka
Aténčan	N;VOC;SG|MASC;ANIM	Atén|čan
Aténčanka	N;VOC;SG|FEM	Atén|čanka
Austrálčan	N;VOC;SG|MASC;ANIM	Austrál|čan
Austrálčanka	N;VOC;SG|FEM	Austrál|čanka
Azerbajdžanec	N;VOC;SG|MASC;ANIM	Azerbajdžan|ec
Azerbajdžanka	N;VOC;SG|FEM	Azerbajdžan|ka
Babylončan	N;VOC;SG|MASC;ANIM	Babylon|čan
Babylončanka	N;VOC;SG|FEM	Babylon|čanka
Bagdad	N;NOM;SG|MASC;INAN	Bagdad
Bartolomej	N;VOC;SG|MASC;ANIM	Bartolomej
Bask	N;NOM;SG|MASC;ANIM	Bask
Basra	N;VOC;SG|FEM	Basr|a
Bavorka	N;VOC;SG|FEM	Bavor|ka
Belgičan	N;VOC;SG|MASC;ANIM	Belg|ičan
Belgičanka	N;VOC;SG|FEM	Belg|ičanka
Benátčan	N;VOC;SG|MASC;ANIM	Benátč|an
Benátčanka	N;VOC;SG|FEM	Benátč|anka
Berlínčan	N;VOC;SG|MASC;ANIM	Berlín|čan
Berlínčanka	N;VOC;SG|FEM	Berlín|čanka
Bernolák	N;NOM;SG|MASC;ANIM	Bernolák
Bielorus	N;VOC;SG|MASC;ANIM	Bielorus
Bieloruska	N;VOC;SG|FEM	Bielorus|ka
Botswana	N;VOC;SG|FEM	Botswan|a
Bratislavčan	N;VOC;SG|MASC;ANIM	Bratislav|čan
Bratislavčanka	N;VOC;SG|FEM	Bratislav|čanka
Brazílčan	N;VOC;SG|MASC;ANIM	Brazíl|čan
Brazílčanka	N;VOC;SG|FEM	Brazíl|čanka
Brit	N;VOC;SG|MASC;ANIM	Brit
Britka	N;VOC;SG|FEM	Brit|ka
Brunej	N;VOC;SG|FEM	Brunej
Brňan	N;VOC;SG|MASC;ANIM	Brň|an
Bulhar	N;VOC;SG|MASC;ANIM	Bulhar
Bulharka	N;VOC;SG|FEM	Bulhar|ka
Celzius	N;VOC;SG|MASC;ANIM	Celzi|us
Chicago	N;VOC;SG|NEUT	Chicag|o
Chod	N;VOC;SG|MASC;ANIM	Chod
Chorvát	N;VOC;SG|MASC;ANIM	Chorvát
Chorvátka	N;VOC;SG|FEM	Chorvát|ka
Cigán	N;VOC;SG|MASC;ANIM	Cigán
Cigánka	N;VOC;SG|FEM	Cigán|ka
Cyperčan	N;VOC;SG|MASC;ANIM	Cyper|čan
Cyperčanka	N;VOC;SG|FEM	Cyper|čanka
Dudváh	N;VOC;SG|MASC;INAN	Dudváh
Dán	N;NOM;SG|MASC;ANIM	Dán
Egypťan	N;VOC;SG|MASC;ANIM	Egypť|an
Egypťanka	N;VOC;SG|FEM	Egypť|anka
Ekvádor	N;VOC;SG|MASC;INAN	Ekvádor
Eritrea	N;VOC;SG|FEM	Eritre|a
Eskimák	N;VOC;SG|MASC;ANIM	Eskim|ák
Eskimáčka	N;VOC;SG|FEM	Eskim|áčka
Estónec	N;VOC;SG|MASC;ANIM	Estón|ec
Estónka	N;VOC;SG|FEM	Estón|ka
Etiópčan	N;VOC;SG|MASC;ANIM	Etióp|čan
Etiópčanka	N;VOC;SG|FEM	Etióp|čanka
Etrusk	N;VOC;SG|MASC;ANIM	Etrusk
Euklides	N;VOC;SG|MASC;ANIM	Euklid|es
Európan	N;VOC;SG|MASC;ANIM	Európ|an
Európanka	N;VOC;SG|FEM	Európ|anka
Eva	N;VOC;SG|FEM	Ev|a
Feničan	N;VOC;SG|MASC;ANIM	Fenič|an
Feničanka	N;VOC;SG|FEM	Fenič|anka
Florenťan	N;VOC;SG|MASC;ANIM	Florenť|an
Florenťanka	N;VOC;SG|FEM	Florenť|anka
Francúz	N;VOC;SG|MASC;ANIM	Francúz
Francúzka	N;VOC;SG|FEM	Francúz|ka
Fín	N;NOM;SG|MASC;ANIM	Fín
Fínka	N;VOC;SG|FEM	Fín|ka
Gal	N;VOC;SG|MASC;ANIM	Gal
Gambia	N;NOM;SG|FEM	Gamb|ia
Gaskonec	N;VOC;SG|MASC;ANIM	Gaskon|ec
Germán	N;VOC;SG|MASC;ANIM	Germán
Germánka	N;VOC;SG|FEM	Germán|ka
Gruzínec	N;VOC;SG|MASC;ANIM	Gruzín|ec
Gruzínka	N;VOC;SG|FEM	Gruzín|ka
Grék	N;VOC;SG|MASC;ANIM	Grék
Grékyňa	N;VOC;SG|FEM	Grék|yňa
Guyana	N;VOC;SG|FEM	Guyan|a
Hanák	N;VOC;SG|MASC;ANIM	Han|ák
Hanáčka	N;VOC;SG|FEM	Han|áčka
Hebrejka	N;VOC;SG|FEM	Hebrej|ka
